cell cycle
1CDX1_1 G1
1CDX1_2 G1
1CDX1_3 G1
1CDX1_4 G1
1CDX1_5 G1
1CDX2_1 early_S
1CDX2_2 early_S
1CDX2_3 early_S
1CDX2_4 early_S
1CDX2_5 early_S
1CDX2_6 early_S
1CDX3_1 mid_S
1CDX3_2 mid_S
1CDX3_3 mid_S
1CDX3_5 mid_S
1CDX3_6 mid_S
1CDX4_1 late_S
1CDX4_2 late_S
1CDX4_3 late_S
1CDX4_4 late_S
1CDX4_5 late_S
1CDX4_6 late_S
1CDX1_12 G1
1CDX1_13 G1
1CDX1_14 G1
1CDX1_17 G1
1CDX1_22 G1
1CDX1_23 G1
1CDX1_24 G1
1CDX1_25 G1
1CDX1_26 G1
1CDX1_27 G1
1CDX1_32 G1
1CDX1_33 G1
1CDX1_34 G1
1CDX1_35 G1
1CDX1_36 G1
1CDX1_37 G1
1CDX1_38 G1
1CDX1_41 G1
1CDX1_42 G1
1CDX1_43 G1
1CDX1_44 G1
1CDX1_45 G1
1CDX1_46 G1
1CDX1_47 G1
1CDX1_51 G1
1CDX1_52 G1
1CDX1_53 G1
1CDX1_54 G1
1CDX1_56 G1
1CDX1_61 G1
1CDX1_62 G1
1CDX1_63 G1
1CDX1_64 G1
1CDX1_66 G1
1CDX1_67 G1
1CDX1_71 G1
1CDX1_72 G1
1CDX1_73 G1
1CDX1_74 G1
1CDX1_75 G1
1CDX1_76 G1
1CDX1_77 G1
1CDX1_81 G1
1CDX1_82 G1
1CDX1_83 G1
1CDX1_85 G1
1CDX1_86 G1
1CDX1_87 G1
1CDX1_92 G1
1CDX1_93 G1
1CDX1_94 G1
1CDX1_95 G1
1CDX1_96 G1
1CDX1_101 G1
1CDX1_102 G1
1CDX1_103 G1
1CDX1_104 G1
1CDX1_105 G1
1CDX1_106 G1
1CDX1_107 G1
1CDX1_108 G1
1CDX1_111 G1
1CDX1_113 G1
1CDX1_114 G1
1CDX1_115 G1
1CDX1_116 G1
1CDX1_117 G1
1CDX1_121 G1
1CDX1_122 G1
1CDX1_123 G1
1CDX1_124 G1
1CDX1_125 G1
1CDX1_126 G1
1CDX1_127 G1
1CDX1_128 G1
1CDX1_132 G1
1CDX1_134 G1
1CDX1_136 G1
1CDX1_138 G1
1CDX1_141 G1
1CDX1_142 G1
1CDX1_143 G1
1CDX1_144 G1
1CDX1_145 G1
1CDX1_146 G1
1CDX1_147 G1
1CDX1_151 G1
1CDX1_152 G1
1CDX1_153 G1
1CDX1_154 G1
1CDX1_155 G1
1CDX1_156 G1
1CDX1_157 G1
1CDX1_161 G1
1CDX1_162 G1
1CDX1_164 G1
1CDX1_165 G1
1CDX1_166 G1
1CDX1_167 G1
1CDX1_171 G1
1CDX1_172 G1
1CDX1_174 G1
1CDX1_175 G1
1CDX1_176 G1
1CDX1_177 G1
1CDX1_182 G1
1CDX1_183 G1
1CDX1_185 G1
1CDX1_186 G1
1CDX1_187 G1
1CDX1_191 G1
1CDX1_192 G1
1CDX1_193 G1
1CDX1_194 G1
1CDX1_195 G1
1CDX1_196 G1
1CDX1_197 G1
1CDX1_201 G1
1CDX1_202 G1
1CDX1_203 G1
1CDX1_204 G1
1CDX1_205 G1
1CDX1_207 G1
1CDX1_211 G1
1CDX1_213 G1
1CDX1_214 G1
1CDX1_215 G1
1CDX1_216 G1
1CDX1_221 G1
1CDX1_222 G1
1CDX1_223 G1
1CDX1_224 G1
1CDX1_226 G1
1CDX1_232 G1
1CDX1_233 G1
1CDX1_234 G1
1CDX1_235 G1
1CDX1_236 G1
1CDX1_242 G1
1CDX1_244 G1
1CDX1_245 G1
1CDX1_252 G1
1CDX1_253 G1
1CDX1_254 G1
1CDX1_255 G1
1CDX1_257 G1
1CDX1_258 G1
1CDX1_262 G1
1CDX1_263 G1
1CDX1_264 G1
1CDX1_265 G1
1CDX1_266 G1
1CDX1_267 G1
1CDX1_272 G1
1CDX1_273 G1
1CDX1_274 G1
1CDX1_275 G1
1CDX1_276 G1
1CDX1_277 G1
1CDX1_281 G1
1CDX1_283 G1
1CDX1_284 G1
1CDX1_285 G1
1CDX1_286 G1
1CDX1_287 G1
1CDX1_293 G1
1CDX1_294 G1
1CDX1_295 G1
1CDX1_296 G1
1CDX1_297 G1
1CDX1_303 G1
1CDX1_304 G1
1CDX1_305 G1
1CDX1_306 G1
1CDX1_307 G1
1CDX1_312 G1
1CDX1_313 G1
1CDX1_314 G1
1CDX1_315 G1
1CDX1_317 G1
1CDX1_322 G1
1CDX1_323 G1
1CDX1_324 G1
1CDX1_325 G1
1CDX1_326 G1
1CDX1_327 G1
1CDX1_333 G1
1CDX1_334 G1
1CDX1_335 G1
1CDX1_337 G1
1CDX1_342 G1
1CDX1_343 G1
1CDX1_344 G1
1CDX1_345 G1
1CDX1_346 G1
1CDX1_347 G1
1CDX1_352 G1
1CDX1_353 G1
1CDX1_354 G1
1CDX1_355 G1
1CDX1_357 G1
1CDX1_362 G1
1CDX1_363 G1
1CDX1_364 G1
1CDX1_365 G1
1CDX1_366 G1
1CDX1_371 G1
1CDX1_372 G1
1CDX1_373 G1
1CDX1_374 G1
1CDX1_375 G1
1CDX1_381 G1
1CDX1_383 G1
1CDX1_384 G1
1CDX1_385 G1
1CDX1_386 G1
1CDX1_387 G1
1CDX1_388 G1
1CDX1_391 G1
1CDX1_392 G1
1CDX1_393 G1
1CDX1_394 G1
1CDX1_395 G1
1CDX1_396 G1
1CDX1_397 G1
1CDX1_398 G1
1CDX1_402 G1
1CDX1_403 G1
1CDX1_404 G1
1CDX1_405 G1
1CDX1_406 G1
1CDX1_407 G1
1CDX1_411 G1
1CDX1_412 G1
1CDX1_413 G1
1CDX1_414 G1
1CDX1_415 G1
1CDX1_416 G1
1CDX1_417 G1
1CDX1_421 G1
1CDX1_422 G1
1CDX1_423 G1
1CDX1_424 G1
1CDX1_425 G1
1CDX1_426 G1
1CDX1_427 G1
1CDX1_432 G1
1CDX1_433 G1
1CDX1_434 G1
1CDX1_435 G1
1CDX1_436 G1
1CDX1_437 G1
1CDX1_442 G1
1CDX1_443 G1
1CDX1_444 G1
1CDX1_445 G1
1CDX1_447 G1
1CDX1_452 G1
1CDX1_453 G1
1CDX1_454 G1
1CDX1_455 G1
1CDX1_456 G1
1CDX1_457 G1
1CDX1_464 G1
1CDX1_466 G1
1CDX1_468 G1
1CDX1_472 G1
1CDX1_474 G1
1CDX1_475 G1
1CDX1_476 G1
1CDX1_477 G1
1CDX1_482 G1
1CDX1_483 G1
1CDX1_484 G1
1CDX1_487 G1
1CDX2_11 early_S
1CDX2_12 early_S
1CDX2_13 early_S
1CDX2_14 early_S
1CDX2_15 early_S
1CDX2_16 early_S
1CDX2_17 early_S
1CDX2_21 early_S
1CDX2_22 early_S
1CDX2_23 early_S
1CDX2_24 early_S
1CDX2_25 early_S
1CDX2_26 early_S
1CDX2_27 early_S
1CDX2_31 early_S
1CDX2_33 early_S
1CDX2_34 early_S
1CDX2_35 early_S
1CDX2_36 early_S
1CDX2_37 early_S
1CDX2_41 early_S
1CDX2_42 early_S
1CDX2_43 early_S
1CDX2_44 early_S
1CDX2_45 early_S
1CDX2_46 early_S
1CDX2_47 early_S
1CDX2_48 early_S
1CDX2_51 early_S
1CDX2_52 early_S
1CDX2_53 early_S
1CDX2_54 early_S
1CDX2_55 early_S
1CDX2_56 early_S
1CDX2_57 early_S
1CDX2_58 early_S
1CDX2_62 early_S
1CDX2_63 early_S
1CDX2_64 early_S
1CDX2_65 early_S
1CDX2_67 early_S
1CDX2_72 early_S
1CDX2_73 early_S
1CDX2_74 early_S
1CDX2_75 early_S
1CDX2_76 early_S
1CDX2_77 early_S
1CDX2_82 early_S
1CDX2_83 early_S
1CDX2_84 early_S
1CDX2_85 early_S
1CDX2_86 early_S
1CDX2_87 early_S
1CDX2_91 early_S
1CDX2_92 early_S
1CDX2_93 early_S
1CDX2_94 early_S
1CDX2_95 early_S
1CDX2_96 early_S
1CDX2_97 early_S
1CDX2_101 early_S
1CDX2_102 early_S
1CDX2_103 early_S
1CDX2_104 early_S
1CDX2_105 early_S
1CDX2_106 early_S
1CDX2_107 early_S
1CDX2_108 early_S
1CDX2_112 early_S
1CDX2_113 early_S
1CDX2_114 early_S
1CDX2_115 early_S
1CDX2_116 early_S
1CDX2_117 early_S
1CDX2_121 early_S
1CDX2_122 early_S
1CDX2_123 early_S
1CDX2_124 early_S
1CDX2_125 early_S
1CDX2_126 early_S
1CDX2_131 early_S
1CDX2_132 early_S
1CDX2_133 early_S
1CDX2_134 early_S
1CDX2_135 early_S
1CDX2_136 early_S
1CDX2_137 early_S
1CDX2_141 early_S
1CDX2_142 early_S
1CDX2_144 early_S
1CDX2_145 early_S
1CDX2_146 early_S
1CDX2_147 early_S
1CDX2_151 early_S
1CDX2_154 early_S
1CDX2_155 early_S
1CDX2_156 early_S
1CDX2_157 early_S
1CDX2_162 early_S
1CDX2_163 early_S
1CDX2_164 early_S
1CDX2_165 early_S
1CDX2_166 early_S
1CDX2_167 early_S
1CDX2_171 early_S
1CDX2_172 early_S
1CDX2_173 early_S
1CDX2_174 early_S
1CDX2_175 early_S
1CDX2_176 early_S
1CDX2_177 early_S
1CDX2_181 early_S
1CDX2_182 early_S
1CDX2_183 early_S
1CDX2_184 early_S
1CDX2_185 early_S
1CDX2_186 early_S
1CDX2_187 early_S
1CDX2_191 early_S
1CDX2_192 early_S
1CDX2_193 early_S
1CDX2_194 early_S
1CDX2_195 early_S
1CDX2_196 early_S
1CDX2_197 early_S
1CDX2_202 early_S
1CDX2_203 early_S
1CDX2_204 early_S
1CDX2_205 early_S
1CDX2_206 early_S
1CDX2_207 early_S
1CDX2_211 early_S
1CDX2_212 early_S
1CDX2_213 early_S
1CDX2_214 early_S
1CDX2_215 early_S
1CDX2_216 early_S
1CDX2_217 early_S
1CDX2_221 early_S
1CDX2_222 early_S
1CDX2_224 early_S
1CDX2_225 early_S
1CDX2_227 early_S
1CDX2_232 early_S
1CDX2_233 early_S
1CDX2_234 early_S
1CDX2_235 early_S
1CDX2_236 early_S
1CDX2_237 early_S
1CDX2_241 early_S
1CDX2_242 early_S
1CDX2_243 early_S
1CDX2_244 early_S
1CDX2_245 early_S
1CDX2_254 early_S
1CDX2_255 early_S
1CDX2_256 early_S
1CDX2_257 early_S
1CDX2_262 early_S
1CDX2_263 early_S
1CDX2_264 early_S
1CDX2_265 early_S
1CDX2_266 early_S
1CDX2_267 early_S
1CDX2_272 early_S
1CDX2_273 early_S
1CDX2_274 early_S
1CDX2_275 early_S
1CDX2_276 early_S
1CDX2_277 early_S
1CDX2_282 early_S
1CDX2_283 early_S
1CDX2_284 early_S
1CDX2_285 early_S
1CDX2_286 early_S
1CDX2_287 early_S
1CDX2_293 early_S
1CDX2_294 early_S
1CDX2_295 early_S
1CDX2_296 early_S
1CDX2_297 early_S
1CDX2_301 early_S
1CDX2_302 early_S
1CDX2_303 early_S
1CDX2_304 early_S
1CDX2_305 early_S
1CDX2_306 early_S
1CDX2_307 early_S
1CDX2_312 early_S
1CDX2_313 early_S
1CDX2_314 early_S
1CDX2_315 early_S
1CDX2_316 early_S
1CDX2_317 early_S
1CDX2_322 early_S
1CDX2_323 early_S
1CDX2_324 early_S
1CDX2_325 early_S
1CDX2_326 early_S
1CDX2_327 early_S
1CDX2_331 early_S
1CDX2_332 early_S
1CDX2_333 early_S
1CDX2_334 early_S
1CDX2_335 early_S
1CDX2_336 early_S
1CDX2_337 early_S
1CDX2_342 early_S
1CDX2_343 early_S
1CDX2_344 early_S
1CDX2_345 early_S
1CDX2_346 early_S
1CDX2_348 early_S
1CDX2_352 early_S
1CDX2_353 early_S
1CDX2_354 early_S
1CDX2_355 early_S
1CDX2_356 early_S
1CDX2_357 early_S
1CDX2_362 early_S
1CDX2_363 early_S
1CDX2_364 early_S
1CDX2_365 early_S
1CDX2_366 early_S
1CDX2_367 early_S
1CDX2_372 early_S
1CDX2_374 early_S
1CDX2_375 early_S
1CDX2_376 early_S
1CDX2_377 early_S
1CDX2_382 early_S
1CDX2_383 early_S
1CDX2_384 early_S
1CDX2_385 early_S
1CDX2_387 early_S
1CDX2_391 early_S
1CDX2_392 early_S
1CDX2_393 early_S
1CDX2_394 early_S
1CDX2_395 early_S
1CDX2_396 early_S
1CDX2_401 early_S
1CDX2_402 early_S
1CDX2_403 early_S
1CDX2_404 early_S
1CDX2_405 early_S
1CDX2_407 early_S
1CDX2_408 early_S
1CDX2_412 early_S
1CDX2_413 early_S
1CDX2_414 early_S
1CDX2_415 early_S
1CDX2_416 early_S
1CDX2_417 early_S
1CDX2_421 early_S
1CDX2_422 early_S
1CDX2_423 early_S
1CDX2_424 early_S
1CDX2_425 early_S
1CDX2_426 early_S
1CDX2_427 early_S
1CDX2_432 early_S
1CDX2_433 early_S
1CDX2_435 early_S
1CDX2_436 early_S
1CDX2_437 early_S
1CDX2_441 early_S
1CDX2_442 early_S
1CDX2_443 early_S
1CDX2_444 early_S
1CDX2_445 early_S
1CDX2_446 early_S
1CDX2_447 early_S
1CDX2_452 early_S
1CDX2_454 early_S
1CDX2_455 early_S
1CDX2_456 early_S
1CDX2_457 early_S
1CDX2_461 early_S
1CDX2_463 early_S
1CDX2_464 early_S
1CDX2_465 early_S
1CDX2_466 early_S
1CDX2_467 early_S
1CDX2_468 early_S
1CDX2_472 early_S
1CDX2_473 early_S
1CDX2_474 early_S
1CDX2_475 early_S
1CDX2_476 early_S
1CDX2_477 early_S
1CDX2_481 early_S
1CDX2_482 early_S
1CDX2_483 early_S
1CDX2_486 early_S
1CDX2_487 early_S
1CDX2_488 early_S
1CDX3_11 mid_S
1CDX3_12 mid_S
