Cellname	Cellcycle
GasaE751001	Mid-S
GasaE751002	Late-S/G2
GasaE751003	Late-S/G2
GasaE751004	Mid-S
GasaE751005	Mid-S
GasaE751006	Mid-S
GasaE751007	Mid-S
GasaE751008	Early-S
GasaE751009	Mid-S
GasaE751010	Late-S/G2
GasaE751011	Mid-S
GasaE751012	G1
GasaE751013	Mid-S
GasaE751014	G1
GasaE751015	Mid-S
GasaE751016	Mid-S
GasaE751017	Mid-S
GasaE751018	Late-S/G2
GasaE751019	Late-S/G2
GasaE751020	Late-S/G2
GasaE751021	Late-S/G2
GasaE751022	G1
GasaE751023	G1
GasaE751024	Late-S/G2
GasaE751025	Mid-S
GasaE751026	Mid-S
GasaE751027	Mid-S
GasaE751028	Mid-S
GasaE751029	G1
GasaE751030	Mid-S
GasaE751031	Late-S/G2
GasaE751033	Late-S/G2
GasaE751034	Late-S/G2
GasaE751035	Early-S
GasaE751036	Late-S/G2
GasaE751037	G1
GasaE751039	Mid-S
GasaE751040	Mid-S
GasaE751041	Mid-S
GasaE751042	G1
GasaE751043	Late-S/G2
GasaE751044	Late-S/G2
GasaE751045	Late-S/G2
GasaE751046	Mid-S
GasaE751047	Late-S/G2
GasaE751048	Mid-S
GasaE751049	Mid-S
GasaE751050	Early-S
GasaE751051	G1
GasaE751052	G1
GasaE751053	G1
GasaE751054	Late-S/G2
GasaE751055	Early-S
GasaE751056	Mid-S
GasaE751057	Late-S/G2
GasaE751058	Mid-S
GasaE751059	Late-S/G2
GasaE751060	G1
GasaE751061	Early-S
GasaE751062	Late-S/G2
GasaE751063	Mid-S
GasaE751064	Mid-S
GasaE751065	Mid-S
GasaE751066	Late-S/G2
GasaE751067	Mid-S
GasaE751068	Mid-S
GasaE751069	G1
GasaE751070	G1
GasaE751071	Mid-S
GasaE751072	Late-S/G2
GasaE751073	Late-S/G2
GasaE751074	Early-S
GasaE751075	G1
GasaE751076	G1
GasaE751077	G1
GasaE751078	Early-S
GasaE751079	Mid-S
GasaE751080	Late-S/G2
GasaE751081	Late-S/G2
GasaE751082	G1
GasaE751083	Mid-S
GasaE751084	G1
GasaE751085	Late-S/G2
GasaE751086	Mid-S
GasaE751087	Late-S/G2
GasaE751088	Late-S/G2
GasaE751089	Mid-S
GasaE751090	Late-S/G2
GasaE751092	Mid-S
GasaE751093	Late-S/G2
GasaE751094	Mid-S
GasaE751095	Late-S/G2
GasaE751096	Early-S
GasaE751097	Late-S/G2
GasaE751099	Late-S/G2
GasaE751100	Mid-S
GasaE751101	Late-S/G2
GasaE751102	Late-S/G2
GasaE751103	Late-S/G2
GasaE751104	Late-S/G2
GasaE751105	Late-S/G2
GasaE751106	G1
GasaE751107	G1
GasaE751108	Late-S/G2
GasaE751109	Early-S
GasaE751110	Late-S/G2
GasaE751111	G1
GasaE751112	Mid-S
GasaE751113	Late-S/G2
GasaE751114	G1
GasaE751115	Mid-S
GasaE751116	Late-S/G2
GasaE751117	Early-S
GasaE751118	Mid-S
GasaE751119	G1
GasaE751120	Early-S
GasaE751121	Early-S
GasaE751122	Mid-S
GasaE751123	Mid-S
GasaE751124	Early-S
GasaE751125	Late-S/G2
GasaE751126	Late-S/G2
GasaE751127	G1
GasaE751128	Late-S/G2
GasaE751129	G1
GasaE751130	Late-S/G2
GasaE751131	Late-S/G2
GasaE751132	Late-S/G2
GasaE751133	Late-S/G2
GasaE751134	Late-S/G2
GasaE751135	Early-S
GasaE751136	Late-S/G2
GasaE751137	Late-S/G2
GasaE751138	Mid-S
GasaE751140	Mid-S
GasaE751141	Late-S/G2
GasaE751142	Late-S/G2
GasaE751143	Late-S/G2
GasaE751144	Late-S/G2
GasaE751145	Late-S/G2
GasaE751146	Mid-S
GasaE751147	Late-S/G2
GasaE751148	G1
GasaE751149	Late-S/G2
GasaE751150	Early-S
GasaE751151	G1
GasaE751152	Early-S
GasaE751153	G1
GasaE751154	Mid-S
GasaE751155	Late-S/G2
GasaE751156	Early-S
GasaE751157	Late-S/G2
GasaE751158	G1
GasaE751159	G1
GasaE751160	Mid-S
GasaE751161	G1
GasaE751162	G1
GasaE751163	Late-S/G2
GasaE751164	Mid-S
GasaE751165	Mid-S
GasaE751166	Late-S/G2
GasaE751167	Late-S/G2
GasaE751168	Mid-S
GasaE751169	Early-S
GasaE751170	Late-S/G2
GasaE751171	Late-S/G2
GasaE751172	Late-S/G2
GasaE751173	Late-S/G2
GasaE751174	Late-S/G2
GasaE751175	Mid-S
GasaE751177	Mid-S
GasaE751178	Late-S/G2
GasaE751179	Late-S/G2
GasaE751180	G1
GasaE751181	G1
GasaE751183	Late-S/G2
GasaE751184	Mid-S
GasaE751185	Mid-S
GasaE751186	Mid-S
GasaE751187	Late-S/G2
GasaE751189	Mid-S
GasaE751190	Mid-S
GasaE751192	Mid-S
GasaE751193	Late-S/G2
GasaE751194	Early-S
GasaE751195	G1
GasaE751196	G1
GasaE751197	Mid-S
GasaE751198	Mid-S
GasaE751199	G1
GasaE751200	Mid-S
GasaE751201	G1
GasaE751202	Mid-S
GasaE751203	Late-S/G2
GasaE751204	G1
GasaE751205	Mid-S
GasaE751206	Mid-S
GasaE751207	Mid-S
GasaE751208	Late-S/G2
GasaE751209	G1
GasaE751210	Late-S/G2
GasaE751212	Early-S
GasaE751213	Mid-S
GasaE751214	G1
GasaE751215	Early-S
GasaE751216	Early-S
GasaE751217	Late-S/G2
GasaE751218	Early-S
GasaE751219	Late-S/G2
GasaE751220	G1
GasaE751221	Late-S/G2
GasaE751222	G1
GasaE751223	Mid-S
GasaE751224	Mid-S
GasaE751225	Mid-S
GasaE751226	Late-S/G2
GasaE751227	G1
GasaE751228	Late-S/G2
GasaE751229	G1
GasaE751231	Early-S
GasaE751232	Late-S/G2
GasaE751233	Early-S
GasaE751234	Mid-S
GasaE751235	Late-S/G2
GasaE751236	Early-S
GasaE751237	G1
GasaE751238	Late-S/G2
GasaE751239	Mid-S
GasaE751240	Mid-S
GasaE751242	Mid-S
GasaE751243	Early-S
GasaE751245	Late-S/G2
GasaE751246	Late-S/G2
GasaE751247	Mid-S
